# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	2.111318e-03	1.061376e-03	1.049942e-03	5.401068e-05	7.703039e-05	-2.301971e-05	5.002505e-05	5.717034e-06	-5.877966e-05	-2.565645e-05	-7.160789e-05	4.595144e-05
2             	2.432400e-03	1.224651e-03	1.207749e-03	1.421340e-04	1.698844e-04	-2.775037e-05	9.881738e-05	8.450708e-06	-5.480643e-05	-5.635149e-05	-8.298217e-05	2.663068e-05
3             	2.665545e-03	1.344002e-03	1.321543e-03	2.269698e-04	2.584583e-04	-3.148844e-05	1.449733e-04	1.122959e-05	-5.317815e-05	-7.630474e-05	-9.133052e-05	1.502578e-05
4             	2.805924e-03	1.416034e-03	1.389890e-03	2.906392e-04	3.245832e-04	-3.394394e-05	1.792636e-04	1.307185e-05	-5.221171e-05	-8.872250e-05	-9.657296e-05	7.850461e-06
5             	2.869932e-03	1.449334e-03	1.420599e-03	3.421104e-04	3.774367e-04	-3.532633e-05	2.063815e-04	1.436763e-05	-5.114012e-05	-9.620304e-05	-9.924164e-05	3.038601e-06
6             	2.877273e-03	1.454809e-03	1.422464e-03	3.998777e-04	4.358852e-04	-3.600755e-05	2.359464e-04	1.617280e-05	-4.979292e-05	-1.004274e-04	-1.000066e-04	-4.207939e-07
7             	2.839011e-03	1.437373e-03	1.401639e-03	4.561286e-04	4.922068e-04	-3.607824e-05	2.641425e-04	1.786688e-05	-4.922231e-05	-1.001994e-04	-9.932201e-05	-8.773881e-07
8             	2.767997e-03	1.403341e-03	1.364656e-03	5.075117e-04	5.431973e-04	-3.568557e-05	2.894414e-04	1.934276e-05	-5.025398e-05	-9.482957e-05	-9.766876e-05	2.839197e-06
9             	2.697702e-03	1.369065e-03	1.328636e-03	5.465068e-04	5.817427e-04	-3.523589e-05	3.084893e-04	2.021450e-05	-5.042793e-05	-9.064196e-05	-9.574891e-05	5.106945e-06
10            	2.625647e-03	1.333473e-03	1.292174e-03	5.730530e-04	6.077071e-04	-3.465412e-05	3.211806e-04	2.064966e-05	-4.976937e-05	-8.769157e-05	-9.361516e-05	5.923590e-06
11            	2.556933e-03	1.298913e-03	1.258020e-03	5.806747e-04	6.146747e-04	-3.400004e-05	3.243374e-04	2.044646e-05	-4.834181e-05	-8.613997e-05	-9.141180e-05	5.271823e-06
12            	2.488511e-03	1.264006e-03	1.224505e-03	5.806118e-04	6.139024e-04	-3.329061e-05	3.235965e-04	1.975035e-05	-4.974436e-05	-7.913610e-05	-8.931241e-05	1.017631e-05
13            	2.434213e-03	1.236080e-03	1.198134e-03	5.755951e-04	6.083346e-04	-3.273955e-05	3.205371e-04	1.897290e-05	-5.083951e-05	-7.358630e-05	-8.763266e-05	1.404636e-05
14            	2.392662e-03	1.214656e-03	1.178005e-03	5.735857e-04	6.059096e-04	-3.232392e-05	3.191168e-04	1.832546e-05	-5.174599e-05	-6.923882e-05	-8.636540e-05	1.712658e-05
15            	2.360618e-03	1.198202e-03	1.162416e-03	5.723016e-04	6.043208e-04	-3.201922e-05	3.181700e-04	1.789303e-05	-5.202612e-05	-6.671056e-05	-8.538140e-05	1.867084e-05
16            	2.334907e-03	1.185016e-03	1.149891e-03	5.747838e-04	6.065853e-04	-3.180150e-05	3.191934e-04	1.756223e-05	-5.311970e-05	-6.305054e-05	-8.464497e-05	2.159443e-05
17            	2.314849e-03	1.174923e-03	1.139926e-03	5.786103e-04	6.102760e-04	-3.166573e-05	3.209709e-04	1.749868e-05	-5.401570e-05	-6.024742e-05	-8.413941e-05	2.389199e-05
18            	2.312424e-03	1.173908e-03	1.138516e-03	5.903676e-04	6.221316e-04	-3.176391e-05	3.269477e-04	1.769599e-05	-5.354971e-05	-6.100712e-05	-8.405327e-05	2.304614e-05
19            	2.303861e-03	1.170072e-03	1.133789e-03	6.033192e-04	6.351206e-04	-3.180142e-05	3.334610e-04	1.814137e-05	-5.430145e-05	-5.932285e-05	-8.396287e-05	2.464003e-05
20            	2.304873e-03	1.171046e-03	1.133827e-03	6.184460e-04	6.503928e-04	-3.194687e-05	3.411699e-04	1.860984e-05	-5.361521e-05	-6.083368e-05	-8.403204e-05	2.319837e-05
21            	2.303898e-03	1.171280e-03	1.132618e-03	6.372057e-04	6.693062e-04	-3.210044e-05	3.507033e-04	1.933093e-05	-5.375628e-05	-6.075861e-05	-8.413558e-05	2.337697e-05
22            	2.306136e-03	1.172979e-03	1.133156e-03	6.549986e-04	6.872753e-04	-3.227672e-05	3.597760e-04	1.991133e-05	-5.351313e-05	-6.153913e-05	-8.428270e-05	2.274357e-05
23            	2.306219e-03	1.173719e-03	1.132500e-03	6.727265e-04	7.051578e-04	-3.243135e-05	3.687946e-04	2.060992e-05	-5.382244e-05	-6.125106e-05	-8.444796e-05	2.319691e-05
24            	2.310154e-03	1.176293e-03	1.133860e-03	6.898533e-04	7.224732e-04	-3.261993e-05	3.775466e-04	2.121661e-05	-5.338520e-05	-6.248816e-05	-8.462928e-05	2.214112e-05
25            	2.311105e-03	1.177480e-03	1.133625e-03	7.070462e-04	7.398264e-04	-3.278020e-05	3.863033e-04	2.192766e-05	-5.363852e-05	-6.234370e-05	-8.481037e-05	2.246667e-05
26            	2.315473e-03	1.180261e-03	1.135212e-03	7.236920e-04	7.566587e-04	-3.296674e-05	3.948127e-04	2.252435e-05	-5.317350e-05	-6.364558e-05	-8.499629e-05	2.135071e-05
27            	2.315917e-03	1.181133e-03	1.134784e-03	7.393107e-04	7.724170e-04	-3.310632e-05	4.027617e-04	2.317450e-05	-5.344066e-05	-6.341550e-05	-8.514841e-05	2.173291e-05
28            	2.320229e-03	1.183810e-03	1.136419e-03	7.539881e-04	7.872670e-04	-3.327889e-05	4.102729e-04	2.369522e-05	-5.298795e-05	-6.466764e-05	-8.532177e-05	2.065413e-05
