# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	1.000000e+00	8.922740e-02	12	1.000000e+00	9.557110e-02	11	1.000000e+00	9.418800e-02	11	false	GAMG	1.000000e+00	4.837330e-03	9	true
2             	smoothSolver	1.490190e-01	1.482110e-02	10	7.874500e-01	6.889940e-02	10	7.952620e-01	7.027250e-02	10	false	GAMG	2.917230e-01	2.234710e-03	5	true
3             	smoothSolver	1.597690e-01	1.280980e-02	5	5.842380e-01	4.396920e-02	5	6.139020e-01	4.427560e-02	5	false	GAMG	1.873270e-01	9.883180e-04	6	true
4             	smoothSolver	8.057940e-02	6.275160e-03	6	4.069810e-01	3.086330e-02	6	4.832830e-01	3.489240e-02	6	false	GAMG	3.470430e-02	2.649350e-04	5	true
5             	smoothSolver	4.202990e-02	3.561870e-03	7	2.873350e-01	2.627080e-02	6	2.947610e-01	2.587180e-02	6	false	GAMG	1.879550e-02	8.249890e-05	5	true
6             	smoothSolver	3.694300e-02	2.797480e-03	7	2.492360e-01	2.359260e-02	6	2.000450e-01	1.883900e-02	6	false	GAMG	1.747070e-02	8.224280e-05	5	true
7             	smoothSolver	3.530340e-02	3.364220e-03	6	2.269830e-01	2.140730e-02	6	1.657310e-01	1.552740e-02	6	false	GAMG	1.872470e-02	1.755970e-04	4	true
8             	smoothSolver	3.205850e-02	3.046660e-03	6	2.186610e-01	1.992670e-02	6	1.589320e-01	1.414470e-02	6	false	GAMG	1.923780e-02	1.670630e-04	4	true
9             	smoothSolver	2.803930e-02	2.615550e-03	6	2.207130e-01	1.980520e-02	6	1.722080e-01	1.471240e-02	6	false	GAMG	1.968170e-02	1.501210e-04	4	true
10            	smoothSolver	2.406120e-02	2.244690e-03	6	2.303300e-01	2.049850e-02	6	1.892160e-01	1.630560e-02	6	false	GAMG	2.017980e-02	1.408690e-04	4	true
11            	smoothSolver	2.113670e-02	1.971850e-03	6	2.342270e-01	2.012510e-02	6	2.086510e-01	1.845000e-02	6	false	GAMG	2.034880e-02	1.354640e-04	4	true
12            	smoothSolver	1.885360e-02	1.812960e-03	6	2.244750e-01	1.923600e-02	6	2.324800e-01	2.065180e-02	6	false	GAMG	2.035040e-02	1.355970e-04	4	true
13            	smoothSolver	1.724140e-02	1.719340e-03	6	2.074640e-01	1.822420e-02	6	2.504430e-01	2.256790e-02	6	false	GAMG	2.036480e-02	1.344870e-04	4	true
14            	smoothSolver	1.621690e-02	1.261050e-03	7	1.913310e-01	1.711730e-02	6	2.061610e-01	1.906740e-02	6	false	GAMG	2.047370e-02	1.503040e-04	4	true
15            	smoothSolver	1.555580e-02	1.230720e-03	7	1.820850e-01	1.645890e-02	6	1.791600e-01	1.690670e-02	6	false	GAMG	2.091030e-02	1.685570e-04	4	true
16            	smoothSolver	1.507090e-02	1.209100e-03	7	1.849030e-01	1.633130e-02	6	1.596640e-01	1.544920e-02	6	false	GAMG	2.177270e-02	1.721810e-04	4	true
17            	smoothSolver	1.463440e-02	1.186440e-03	7	1.874630e-01	1.639890e-02	6	1.405260e-01	1.365390e-02	6	false	GAMG	2.293350e-02	1.640090e-04	4	true
18            	smoothSolver	1.412300e-02	1.147430e-03	7	1.885830e-01	1.687140e-02	6	1.254190e-01	1.218300e-02	6	false	GAMG	2.407820e-02	1.643400e-04	4	true
19            	smoothSolver	1.353770e-02	1.100290e-03	7	1.870480e-01	1.740640e-02	6	1.126200e-01	1.097070e-02	6	false	GAMG	2.488050e-02	1.707770e-04	4	true
20            	smoothSolver	1.288380e-02	1.052230e-03	7	1.822160e-01	1.747660e-02	6	1.043210e-01	1.018090e-02	6	false	GAMG	2.533790e-02	1.688260e-04	4	true
21            	smoothSolver	1.239330e-02	1.023800e-03	7	1.727380e-01	1.683070e-02	6	1.004600e-01	9.852230e-03	6	false	GAMG	2.589720e-02	1.747670e-04	4	true
22            	smoothSolver	1.220770e-02	1.034770e-03	7	1.614180e-01	1.594660e-02	6	1.002540e-01	1.001320e-02	6	false	GAMG	2.671290e-02	1.778620e-04	4	true
23            	smoothSolver	1.229990e-02	1.077540e-03	7	1.544770e-01	1.136160e-02	7	1.013610e-01	7.616350e-03	7	false	GAMG	2.773720e-02	1.860780e-04	4	true
24            	smoothSolver	1.267990e-02	1.141850e-03	7	1.499750e-01	1.119870e-02	7	1.038970e-01	7.997870e-03	7	false	GAMG	2.853740e-02	2.017800e-04	4	true
25            	smoothSolver	1.321630e-02	1.216760e-03	7	1.492220e-01	1.141390e-02	7	1.061340e-01	8.395000e-03	7	false	GAMG	2.956960e-02	2.205680e-04	4	true
26            	smoothSolver	1.370830e-02	1.295010e-03	7	1.597650e-01	1.270980e-02	7	1.103110e-01	9.074500e-03	7	false	GAMG	3.075140e-02	2.356320e-04	4	true
27            	smoothSolver	1.419450e-02	1.386980e-03	7	1.857730e-01	1.551960e-02	7	1.157630e-01	9.925560e-03	7	false	GAMG	3.238480e-02	2.414590e-04	4	true
28            	smoothSolver	1.481610e-02	1.138350e-03	8	1.973620e-01	1.712730e-02	7	1.194540e-01	1.062410e-02	7	false	GAMG	3.391060e-02	2.526250e-04	4	true
29            	smoothSolver	1.557530e-02	1.226790e-03	8	1.777760e-01	1.564710e-02	7	1.165840e-01	1.075270e-02	7	false	GAMG	3.449240e-02	2.579170e-04	4	true
30            	smoothSolver	1.614660e-02	1.294670e-03	8	1.643650e-01	1.453610e-02	7	1.086500e-01	1.031620e-02	7	false	GAMG	3.495190e-02	2.446320e-04	4	true
31            	smoothSolver	1.660120e-02	1.349000e-03	8	1.594010e-01	1.412100e-02	7	1.000680e-01	9.728730e-03	7	false	GAMG	3.543890e-02	2.467170e-04	4	true
32            	smoothSolver	1.706960e-02	1.398520e-03	8	1.650640e-01	1.425650e-02	7	9.555430e-02	9.551820e-03	7	false	GAMG	3.548600e-02	2.601510e-04	4	true
33            	smoothSolver	1.737690e-02	1.441250e-03	8	1.796840e-01	1.526090e-02	7	9.485830e-02	7.398550e-03	8	false	GAMG	3.493340e-02	2.589280e-04	4	true
34            	smoothSolver	1.756880e-02	1.497760e-03	8	1.978540e-01	1.746240e-02	7	9.589690e-02	7.685220e-03	8	false	GAMG	3.407900e-02	2.368290e-04	4	true
35            	smoothSolver	1.766130e-02	1.559500e-03	8	2.184840e-01	2.039350e-02	7	9.749100e-02	8.092640e-03	8	false	GAMG	3.294770e-02	2.210580e-04	4	true
36            	smoothSolver	1.760200e-02	1.574620e-03	8	2.314310e-01	2.237190e-02	7	9.769570e-02	8.420180e-03	8	false	GAMG	3.171170e-02	2.121800e-04	4	true
37            	smoothSolver	1.730050e-02	1.560980e-03	8	2.389340e-01	2.369800e-02	7	9.768530e-02	8.788300e-03	8	false	GAMG	3.034940e-02	2.012500e-04	4	true
38            	smoothSolver	1.666600e-02	1.544710e-03	8	2.419780e-01	1.833760e-02	8	9.627980e-02	9.018200e-03	8	false	GAMG	2.871550e-02	1.868170e-04	4	true
39            	smoothSolver	1.582170e-02	1.495250e-03	8	2.425590e-01	1.886580e-02	8	9.223350e-02	8.794190e-03	8	false	GAMG	2.717980e-02	1.720960e-04	4	true
40            	smoothSolver	1.476030e-02	1.417590e-03	8	2.366840e-01	1.880230e-02	8	8.521190e-02	8.164320e-03	8	false	GAMG	2.586230e-02	1.544330e-04	4	true
41            	smoothSolver	1.366840e-02	1.325880e-03	8	2.062020e-01	1.663810e-02	8	7.623770e-02	7.346130e-03	8	false	GAMG	2.501900e-02	1.476090e-04	4	true
42            	smoothSolver	1.259190e-02	1.236650e-03	8	1.772650e-01	1.429550e-02	8	6.772800e-02	6.488830e-03	8	false	GAMG	2.438910e-02	1.471790e-04	4	true
43            	smoothSolver	1.158300e-02	1.158260e-03	8	1.488310e-01	1.205080e-02	8	6.022870e-02	5.712910e-03	8	false	GAMG	2.378270e-02	1.458680e-04	4	true
44            	smoothSolver	1.067020e-02	8.338130e-04	9	1.225080e-01	9.888840e-03	8	5.374510e-02	5.059650e-03	8	false	GAMG	2.286480e-02	1.405880e-04	4	true
45            	smoothSolver	9.800020e-03	7.710960e-04	9	1.017510e-01	8.119980e-03	8	4.797810e-02	4.550490e-03	8	false	GAMG	2.166220e-02	1.266410e-04	4	true
46            	smoothSolver	9.023160e-03	7.032620e-04	9	8.522820e-02	6.713910e-03	8	4.305110e-02	4.166410e-03	8	false	GAMG	2.027140e-02	1.097520e-04	4	true
47            	smoothSolver	8.349490e-03	8.266780e-04	8	7.261340e-02	5.560940e-03	8	3.905080e-02	3.718150e-03	8	false	GAMG	1.961460e-02	9.692050e-05	4	true
48            	smoothSolver	7.778400e-03	7.452040e-04	8	6.389080e-02	6.315570e-03	7	3.585970e-02	3.203270e-03	8	false	GAMG	1.939610e-02	9.568260e-05	4	true
49            	smoothSolver	7.277650e-03	6.647050e-04	8	5.949370e-02	5.618720e-03	7	3.353940e-02	2.678470e-03	8	false	GAMG	1.930390e-02	1.072700e-04	4	true
50            	smoothSolver	6.844080e-03	5.883240e-04	8	5.711150e-02	5.022000e-03	7	3.132400e-02	3.037940e-03	7	false	GAMG	1.871660e-02	1.149520e-04	4	true
51            	smoothSolver	6.336230e-03	5.214060e-04	8	5.421050e-02	4.432770e-03	7	2.905410e-02	2.690730e-03	7	false	GAMG	1.777500e-02	1.086440e-04	4	true
52            	smoothSolver	5.777650e-03	4.577210e-04	8	5.066520e-02	3.876580e-03	7	2.678160e-02	2.439000e-03	7	false	GAMG	1.679810e-02	9.868440e-05	4	true
53            	smoothSolver	5.140110e-03	3.985060e-04	8	4.664750e-02	4.602790e-03	6	2.424470e-02	2.189720e-03	7	false	GAMG	1.553750e-02	8.466460e-05	4	true
54            	smoothSolver	4.546540e-03	3.410580e-04	8	4.216290e-02	4.167800e-03	6	2.178120e-02	1.962890e-03	7	false	GAMG	1.427690e-02	7.630210e-05	4	true
55            	smoothSolver	4.005220e-03	3.877250e-04	7	3.789320e-02	2.898860e-03	7	1.984200e-02	1.773790e-03	7	false	GAMG	1.284100e-02	6.937610e-05	4	true
56            	smoothSolver	3.571420e-03	3.255520e-04	7	3.480170e-02	2.709030e-03	7	1.835810e-02	1.551960e-03	7	false	GAMG	1.157490e-02	6.784080e-05	4	true
57            	smoothSolver	3.202340e-03	2.725650e-04	7	3.351050e-02	2.516880e-03	7	1.686670e-02	1.336480e-03	7	false	GAMG	1.086980e-02	6.513080e-05	4	true
58            	smoothSolver	2.852480e-03	2.316170e-04	7	3.269150e-02	3.150400e-03	6	1.526540e-02	1.150400e-03	7	false	GAMG	1.029180e-02	5.919920e-05	4	true
59            	smoothSolver	2.505790e-03	1.993740e-04	7	3.140480e-02	2.897880e-03	6	1.357650e-02	1.350280e-03	6	false	GAMG	9.643550e-03	4.991780e-05	4	true
60            	smoothSolver	2.183890e-03	1.749970e-04	7	2.942980e-02	2.696940e-03	6	1.202580e-02	8.937760e-04	7	false	GAMG	9.051550e-03	4.468350e-05	4	true
61            	smoothSolver	1.907520e-03	1.569750e-04	7	2.754240e-02	2.562200e-03	6	1.068940e-02	7.967010e-04	7	false	GAMG	8.468760e-03	4.090190e-05	4	true
62            	smoothSolver	1.689270e-03	1.430520e-04	7	2.578620e-02	2.448660e-03	6	9.608090e-03	7.183690e-04	7	false	GAMG	7.939990e-03	3.819760e-05	4	true
63            	smoothSolver	1.514270e-03	1.325950e-04	7	2.413910e-02	2.328890e-03	6	8.738010e-03	6.544160e-04	7	false	GAMG	7.527380e-03	3.577220e-05	4	true
64            	smoothSolver	1.390540e-03	1.231440e-04	7	2.252980e-02	2.194770e-03	6	8.099900e-03	6.034600e-04	7	false	GAMG	7.168580e-03	3.348820e-05	4	true
65            	smoothSolver	1.287130e-03	1.139290e-04	7	2.114890e-02	2.054930e-03	6	7.630280e-03	7.587440e-04	6	false	GAMG	6.814380e-03	3.113420e-05	4	true
66            	smoothSolver	1.196240e-03	1.053050e-04	7	1.981860e-02	1.903260e-03	6	7.274530e-03	7.151240e-04	6	false	GAMG	6.477580e-03	2.919110e-05	4	true
67            	smoothSolver	1.111070e-03	9.766770e-05	7	1.845530e-02	1.755840e-03	6	6.871810e-03	6.647980e-04	6	false	GAMG	6.153490e-03	2.752670e-05	4	true
68            	smoothSolver	1.027250e-03	9.129150e-05	7	1.707480e-02	1.609290e-03	6	6.402690e-03	6.143090e-04	6	false	GAMG	5.828040e-03	2.574450e-05	4	true
69            	smoothSolver	9.542290e-04	8.591820e-05	7	1.564280e-02	1.472440e-03	6	5.928720e-03	5.702330e-04	6	false	GAMG	5.500660e-03	2.372490e-05	4	true
70            	smoothSolver	8.880880e-04	8.182630e-05	7	1.426500e-02	1.345670e-03	6	5.491220e-03	5.324450e-04	6	false	GAMG	5.174100e-03	2.164670e-05	4	true
71            	smoothSolver	8.344600e-04	7.855470e-05	7	1.309080e-02	1.240870e-03	6	5.129880e-03	5.024840e-04	6	false	GAMG	4.858800e-03	2.018950e-05	4	true
72            	smoothSolver	7.912590e-04	7.535700e-05	7	1.209910e-02	1.157940e-03	6	4.810640e-03	4.755130e-04	6	false	GAMG	4.600300e-03	1.896310e-05	4	true
73            	smoothSolver	7.549210e-04	7.196980e-05	7	1.130710e-02	1.091150e-03	6	4.522230e-03	4.476420e-04	6	false	GAMG	4.369090e-03	1.791400e-05	4	true
74            	smoothSolver	7.209690e-04	6.835640e-05	7	1.062170e-02	1.032890e-03	6	4.270890e-03	4.209760e-04	6	false	GAMG	4.175410e-03	1.712210e-05	4	true
75            	smoothSolver	6.882630e-04	6.510440e-05	7	1.001880e-02	9.870810e-04	6	4.051900e-03	3.975340e-04	6	false	GAMG	4.011130e-03	1.640100e-05	4	true
76            	smoothSolver	6.585050e-04	6.273020e-05	7	9.501010e-03	9.475290e-04	6	3.857900e-03	3.784770e-04	6	false	GAMG	3.875840e-03	1.573380e-05	4	true
